##########
# Исследование № 000008
# 2025-11-09 17:52:24
##########
0000000033;8.50;8.30;-26.75;1;0
0000000061;8.60;8.25;-26.70;1;0
0000000077;8.75;8.20;-26.60;1;0
0000000108;8.85;8.10;-26.55;1;0
0000000116;8.95;8.00;-26.50;1;0
0000000140;9.10;8.00;-26.40;1;0
0000000150;9.20;8.00;-26.30;1;0
0000000172;9.35;7.95;-26.25;1;0
0000000226;9.45;7.90;-26.20;1;0
0000000233;9.50;7.80;-26.05;1;0
0000000253;9.60;7.70;-25.95;1;0
0000000281;9.70;7.65;-25.85;1;0
0000000309;9.80;7.55;-25.80;1;0
0000000310;9.90;7.50;-25.70;1;0
0000000325;10.00;7.40;-25.60;1;0
0000000357;10.10;7.40;-25.50;1;0
0000000371;10.20;7.35;-25.40;1;0
0000000401;10.30;7.30;-25.30;1;0
0000000420;10.40;7.25;-25.15;1;0
0000000455;10.45;7.20;-25.10;1;0
0000000470;10.60;7.10;-25.00;1;0
0000000492;10.75;7.00;-24.90;1;0
0000000503;10.85;7.00;-24.80;1;0
0000000531;10.95;7.00;-24.70;1;0
0000000555;11.00;6.95;-24.65;1;0
0000000578;11.05;6.90;-24.55;1;0
0000000598;11.20;6.85;-24.40;1;0
0000000610;11.35;6.85;-24.30;1;0
0000000628;11.45;6.75;-24.25;1;0
0000000673;11.60;6.70;-24.10;1;0
0000000689;11.65;6.60;-24.00;1;0
0000000700;11.75;6.55;-23.95;1;0
0000000729;11.90;6.50;-23.80;1;0
0000000752;12.00;6.40;-23.65;1;0
0000000789;12.15;6.35;-23.60;1;0
0000000803;12.30;6.35;-23.55;1;0
0000000815;12.40;6.30;-23.45;1;0
0000000831;12.50;6.25;-23.30;1;0
0000000847;12.60;6.15;-23.20;1;0
0000000879;12.75;6.15;-23.10;1;0
0000000903;12.85;6.05;-23.00;1;1
0000000918;12.95;6.00;-22.85;1;1
0000000954;13.10;5.95;-22.75;1;1
0000000968;13.20;5.90;-22.60;1;1
0000001005;13.25;5.90;-22.55;1;1
0000001016;13.35;5.85;-22.50;0;1
0000001032;13.40;5.80;-22.40;0;1
0000001053;13.50;5.75;-22.30;0;1
0000001069;13.60;5.75;-22.15;0;1
0000001101;13.70;5.75;-22.05;0;1
0000001123;13.80;5.65;-21.95;0;1
